iter	Passed	Remaining
679	4188	1970
680	4194	1964
681	4200	1958
682	4209	1953
683	4212	1946
684	4221	1941
685	4224	1933
686	4229	1926
687	4234	1920
688	4239	1913
689	4243	1906
690	4247	1899
691	4250	1891
692	4259	1886
693	4267	1881
694	4274	1875
695	4278	1868
696	4283	1862
697	4288	1855
698	4294	1849
699	4301	1843
700	4305	1836
701	4307	1828
702	4318	1824
703	4324	1818
704	4329	1811
705	4335	1805
706	4343	1800
707	4349	1793
708	4354	1787
709	4358	1780
710	4361	1773
711	4364	1765
712	4371	1759
713	4375	1752
714	4379	1745
715	4386	1740
716	4391	1733
717	4395	1726
718	4405	1721
719	4410	1715
720	4416	1708
721	4424	1703
722	4431	1697
723	4435	1690
724	4440	1684
725	4447	1678
726	4454	1672
727	4472	1671
728	4476	1664
729	4488	1659
730	4494	1653
731	4501	1647
732	4506	1641
733	4511	1635
734	4518	1629
735	4534	1626
736	4545	1622
737	4550	1615
738	4554	1608
739	4565	1603
740	4573	1598
741	4581	1592
742	4595	1589
743	4607	1585
744	4619	1581
745	4628	1575
746	4639	1571
747	4648	1565
748	4656	1560
749	4662	1554
750	4674	1549
751	4680	1543
752	4688	1537
753	4692	1530
754	4699	1525
755	4707	1519
756	4713	1513
757	4718	1506
758	4722	1499
759	4729	1493
760	4731	1486
761	4737	1479
762	4743	1473
763	4750	1467
764	4755	1460
765	4761	1454
766	4765	1447
767	4770	1441
768	4773	1433
769	4777	1427
770	4784	1420
771	4787	1413
772	4790	1406
773	4796	1400
774	4802	1394
775	4809	1388
776	4815	1381
777	4823	1376
778	4829	1370
779	4833	1363
780	4835	13557781	4840	1349782	4877	1351
783	4885	1346
784	4894	1340
7785	4871	1326786	4909	1328
787	4916	1322
788	4923	1316
789	4931	1311
790	4938	1304
791	4940	1297
792	4954	1293
793	4964	1288
794	4978	1283
795	4986	1278
796	4992	1271
797	4998	1265
798	5009	1260
799	5018	1254
800	5028	1249
801	5038	1243
802	5045	1237
803	5051	1231
804	5061	1226
805	5063	1218
806	5071	1212
807	5079	1207
808	5091	1201
809	5097	1195
810	5105	1189
811	5110	1183
812	5116	1176
813	5124	1170
814	5126	1163
815	5139	1158
816	5146	1152
817	5151	1146
818	5157	1139
819	5159	1132
820	5164	1126
821	5169	1119
822	5173	1112
823	5181	1106
824	5188	1100
825	5196	1094
826	5200	1087
827	5207	1081
828	5212	1075
829	5221	1069
830	5229	1063
831	5231	1056
832	5235	1049
833	5242	1043
834	5244	1036
835	5251	1030
836	5259	1024
837	5266	1018
838	5272	1011
839	5281	1005
840	5286	999
841	5293	993
842	5298	986
843	5308	981
844	5315	975
845	5327	969
846	5348	966
847	5355	959
848	5367	954
849	5373	948
850	5378	941
851	5390	936
852	5402	931
853	5404	924
854	5411	917
855	5419	911
856	5428	905
857	5432	899
858	5438	892
859	5447	886
860	5457	880
861	5463	874
862	5471	868
863	5479	862
864	5485	856
865	5494	850
866	5501	844
867	5518	839
868	5523	832
869	5530	826
870	5539	820
871	5545	813
872	5554	808
873	5560	801
874	5564	794
875	5568	788
876	5572	781
877	5582	775
878	5589	769
879	5593	762
880	5599	756
881	5603	749
882	5604	742
883	5611	736
884	5616	729
885	5622	723
886	5627	716
887	5633	710
888	5638	704
889	5649	698
890	5661	692
891	5670	686
892	5678	680
893	5688	674
894	5704	669
895	5711	662
896	5721	657
897	5730	650
898	5737	644
899	5739	637
900	5746	631
901	5752	625
902	5756	618
903	5770	612
904	5778	606
905	5785	600
906	5790	593
907	5794	587
908	5802	580
909	5807	574
910	5813	567
911	5819	561
912	5824	555
913	5833	548
914	5843	542
915	5852	536
916	5864	530
917	5870	524
918	5876	517
919	5887	511
920	5894	505
921	5898	498
922	5907	492
923	5913	486
924	5918	479
925	5924	473
926	5930	467
927	5938	460
928	5942	454
929	5944	447
930	5953	441
931	5957	434
932	5963	428
933	5968	421
934	5971	415
935	5977	408
936	5986	402
937	5990	395
938	5998	389
939	6000	383
940	6005	376
941	6013	370
942	6015	363
943	6023	357
944	6025	350
945	6031	344
946	6038	337
947	6053	332
948	6061	325
949	6067	319
950	6080	313
951	6089	307
952	6100	300
953	6111	294
954	6116	288
955	6120	281
956	6124	275
957	6132	268
